Province,p_nom
Anhui,161.492652
Beijing,0
Chongqing,37.5749595
Fujian,62.4817575
Gansu,300.120354
Guangdong,40.998789
Guangxi,308.4184665
Guizhou,117.275463
Hainan,0
Hebei,5.17932
Heilongjiang,15.09597
Henan,297.76725
Hubei,72.7781445
Hunan,123.494382
InnerMongolia,505.749267
Jiangsu,58.572369
Jiangxi,160.801659
Jilin,8.291889
Liaoning,56.38734
Ningxia,90.8684055
Qinghai,186.2064675
Shaanxi,124.079544
Shandong,526.9147515
Shanghai,0
Shanxi,92.860452
Sichuan,106.095105
Tianjin,0
Tibet,0.26145
Xinjiang,535.922532
Yunnan,461.2457205
Zhejiang,43.0655355