表格信息行,表格名称：,generator,表格注释：,发电机信息,零维数据：,const_A,123,const_B,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,1,30,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,62,1,30,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,63,1,34,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,64,1,34,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,65,1,34,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,66,1,34,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,67,1,34,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,68,1,34,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,69,1,34,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,70,1,34,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,71,1,35,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,72,1,35,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,73,1,35,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,74,1,35,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,75,1,35,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,76,1,35,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,77,1,35,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,78,1,35,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,79,1,35,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,80,1,35,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,81,1,35,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,82,1,35,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,83,1,35,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,84,1,35,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,85,1,35,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,86,1,35,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,87,1,35,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,88,1,35,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,89,1,35,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,90,1,35,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,91,1,36,320,125,195,195,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,92,1,36,320,125,195,195,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,93,1,36,320,125,195,195,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,94,1,36,320,125,195,195,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,95,1,36,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,96,1,36,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,97,1,36,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,98,1,36,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,99,1,37,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,100,1,37,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,101,1,37,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,102,1,37,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,103,2,7,4000,0,4000,4000,0,0,0 ,0,250.7,260.100 ,263.100 ,264.400 ,265.100 ,266.700 ,268.800 ,270.100 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,104,2,16,8000,0,8000,8000,0,0,0 ,0,240.3,245.100 ,251.100 ,256.700 ,263.300 ,269.800 ,272.200 ,277.400 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,105,2,19,4000,0,4000,4000,0,0,0 ,0,240.3,245.100 ,251.100 ,256.700 ,263.300 ,269.800 ,272.200 ,277.400 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,106,2,21,4000,0,4000,4000,0,0,0 ,0,240.3,245.100 ,251.100 ,256.700 ,263.300 ,269.800 ,272.200 ,277.400 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,107,2,30,8000,0,8000,8000,0,0,0 ,0,240.3,245.100 ,251.100 ,256.700 ,263.300 ,269.800 ,272.200 ,277.400 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,1000.000 ,4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,108,2,34,4000,0,4000,4000,0,0,0 ,0,240.3,245.100 ,251.100 ,256.700 ,263.300 ,269.800 ,272.200 ,277.400 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,500.000 ,2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,109,2,36,5000,0,5000,5000,0,0,0 ,0,240.3,245.100 ,251.100 ,256.700 ,263.300 ,269.800 ,272.200 ,277.400 ,625.000 ,625.000 ,625.000 ,625.000 ,625.000 ,625.000 ,625.000 ,625.000 ,2500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,110,3,7,1800,0,1800,1800,0,0,0 ,0,250.7,260.100 ,263.100 ,264.400 ,265.100 ,266.700 ,268.800 ,270.100 ,225.000 ,225.000 ,225.000 ,225.000 ,225.000 ,225.000 ,225.000 ,225.000 ,900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,111,3,16,1000,0,1000,1000,0,0,0 ,0,250.7,260.100 ,263.100 ,264.400 ,265.100 ,266.700 ,268.800 ,270.100 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,112,3,19,1000,0,1000,1000,0,0,0 ,0,250.7,260.100 ,263.100 ,264.400 ,265.100 ,266.700 ,268.800 ,270.100 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,113,3,21,1000,0,1000,1000,0,0,0 ,0,250.7,260.100 ,263.100 ,264.400 ,265.100 ,266.700 ,268.800 ,270.100 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,114,3,30,1000,0,1000,1000,0,0,0 ,0,250.7,260.100 ,263.100 ,264.400 ,265.100 ,266.700 ,268.800 ,270.100 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,115,3,34,1000,0,1000,1000,0,0,0 ,0,250.7,260.100 ,263.100 ,264.400 ,265.100 ,266.700 ,268.800 ,270.100 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,116,3,36,1000,0,1000,1000,0,0,0 ,0,250.7,260.100 ,263.100 ,264.400 ,265.100 ,266.700 ,268.800 ,270.100 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,117,4,35,400,200,200,200,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,118,4,35,400,200,200,200,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,119,4,35,300,150,150,150,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,120,4,37,400,200,200,200,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,121,4,37,400,200,200,200,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,122,4,37,400,200,200,200,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,123,4,37,400,200,200,200,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,124,4,37,400,200,200,200,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,50.000 ,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,125,4,37,300,150,150,150,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,126,4,37,300,150,150,150,1200000,200000,0 ,0,326.7,336.700 ,337.800 ,340.100 ,342.100 ,345.600 ,347.700 ,350.100 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,37.500 ,225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
