materials,hierarchy,demand,net_demand_coefficient,price,energy_consumption,initial_inventory,max_inventory
bauxite,upstream_raw_material,0,0,0,1,10e8,10e8
iron_ore,upstream_raw_material,0,0,0,1,10e8,10e8
coke,upstream_raw_material,0,0,0,1,10e8,10e8
limestone,upstream_raw_material,0,0,0,1,10e8,10e8
oil,upstream_raw_material,0,0,0,1,10e8,10e8
clay,upstream_raw_material,0,0,0,1,10e8,10e8
alumina,upstream_raw_material,0,0,0,1,10e8,10e8
silica_sand,upstream_raw_material,0,0,0,1,10e8,10e8
aluminum,upstream_product,30,0.5,1.9,13.6,0,210
steel,upstream_product,120,0.5,0.4,4.6,0,840
basic_chemicals,upstream_product,7.5,0.5,0.7,5.3,0,52.5
cement,upstream_product,50,0.5,0.04,0.8,0,350
glass,upstream_product,25,0.5,0.2,1.8,0,175
copper,downstream_raw_material,0,0,0,1,10e8,10e8
vehicles,downstream_product,80,1,12,0.14,0,560
machine_tools,downstream_product,70,1,35,2.5,0,490
heavy_machinery,downstream_product,70,1,20,3.0,0,490
aircraft_parts,downstream_product,100,1,80,7.5,0,700
consumer_electronics,downstream_product,300,1,100,0.1,0,2100