Demand,Market,Flexibility,Category,Value (CNY),Value (Billion CNY),Scenario_Code
L,L,L,Non-renewable investment,-5113941642,-5.113941642,LLLF
L,L,L,Renewable investment,2968529186,2.968529186,LLLF
L,L,L,Non-renewable operation,-4297919985,-4.297919985,LLLF
L,L,L,Transmission lines,-1338333694,-1.338333694,LLLF
L,L,L,Long-duration storages,841252436.6,0.841252437,LLLF
L,L,L,Batteries,-245086882.3,-0.245086882,LLLF
L,L,L,Heating electrification,661771702.9,0.661771703,LLLF
L,L,M,Non-renewable investment,-11849580078,-11.84958008,MLLF
L,L,M,Renewable investment,3739956752,3.739956752,MLLF
L,L,M,Non-renewable operation,-11381569368,-11.38156937,MLLF
L,L,M,Transmission lines,857202264.5,0.857202265,MLLF
L,L,M,Long-duration storages,198279102,0.198279102,MLLF
L,L,M,Batteries,2199275164,2.199275164,MLLF
L,L,M,Heating electrification,670903677.1,0.670903677,MLLF
L,L,H,Non-renewable investment,-13561126145,-13.56112615,HLLF
L,L,H,Renewable investment,6617622650,6.61762265,HLLF
L,L,H,Non-renewable operation,-14178788091,-14.17878809,HLLF
L,L,H,Transmission lines,1274405302,1.274405302,HLLF
L,L,H,Long-duration storages,310768554.4,0.310768554,HLLF
L,L,H,Batteries,3073829384,3.073829384,HLLF
L,L,H,Heating electrification,802411379.5,0.80241138,HLLF
L,L,N,Non-renewable investment,-4915516364,-4.915516364,NLLF
L,L,N,Renewable investment,-5926432408,-5.926432408,NLLF
L,L,N,Non-renewable operation,-3757531583,-3.757531583,NLLF
L,L,N,Transmission lines,-240412286.9,-0.240412287,NLLF
L,L,N,Long-duration storages,-160507874.9,-0.160507875,NLLF
L,L,N,Batteries,-1856608581,-1.856608581,NLLF
L,L,N,Heating electrification,115537569.7,0.11553757,NLLF
L,M,L,Non-renewable investment,-5113941642,-5.113941642,LLMF
L,M,L,Renewable investment,2968529186,2.968529186,LLMF
L,M,L,Non-renewable operation,-4297919985,-4.297919985,LLMF
L,M,L,Transmission lines,-1338333694,-1.338333694,LLMF
L,M,L,Long-duration storages,841252436.6,0.841252437,LLMF
L,M,L,Batteries,-245086882.3,-0.245086882,LLMF
L,M,L,Heating electrification,661771702.9,0.661771703,LLMF
L,M,M,Non-renewable investment,-12436591434,-12.43659143,MLMF
L,M,M,Renewable investment,7193221842,7.193221842,MLMF
L,M,M,Non-renewable operation,-11960625333,-11.96062533,MLMF
L,M,M,Transmission lines,86748896.48,0.086748896,MLMF
L,M,M,Long-duration storages,534698440.5,0.53469844,MLMF
L,M,M,Batteries,457971477,0.457971477,MLMF
L,M,M,Heating electrification,-24065493,-0.024065493,MLMF
L,M,H,Non-renewable investment,-12582364951,-12.58236495,HLMF
L,M,H,Renewable investment,7516330360,7.51633036,HLMF
L,M,H,Non-renewable operation,-12204411310,-12.20441131,HLMF
L,M,H,Transmission lines,95869404.84,0.095869405,HLMF
L,M,H,Long-duration storages,327441387.5,0.327441387,HLMF
L,M,H,Batteries,451410586.3,0.451410586,HLMF
L,M,H,Heating electrification,-15611948.45,-0.015611948,HLMF
L,M,N,Non-renewable investment,-11032508225,-11.03250822,NLMF
L,M,N,Renewable investment,6177149201,6.177149201,NLMF
L,M,N,Non-renewable operation,-10621900887,-10.62190089,NLMF
L,M,N,Transmission lines,-193637968.6,-0.193637969,NLMF
L,M,N,Long-duration storages,-2410775660,-2.41077566,NLMF
L,M,N,Batteries,-924033092.5,-0.924033093,NLMF
L,M,N,Heating electrification,307329415.8,0.307329416,NLMF
L,H,L,Non-renewable investment,-5113941642,-5.113941642,LLHF
L,H,L,Renewable investment,2968529186,2.968529186,LLHF
L,H,L,Non-renewable operation,-4297919985,-4.297919985,LLHF
L,H,L,Transmission lines,-1338333694,-1.338333694,LLHF
L,H,L,Long-duration storages,841252436.6,0.841252437,LLHF
L,H,L,Batteries,-245086882.3,-0.245086882,LLHF
L,H,L,Heating electrification,661771702.9,0.661771703,LLHF
L,H,M,Non-renewable investment,-10329986400,-10.3299864,MLHF
L,H,M,Renewable investment,4421828301,4.421828301,MLHF
L,H,M,Non-renewable operation,-10076671841,-10.07667184,MLHF
L,H,M,Transmission lines,-198140728.4,-0.198140728,MLHF
L,H,M,Long-duration storages,65500310.74,0.065500311,MLHF
L,H,M,Batteries,298952929.3,0.298952929,MLHF
L,H,M,Heating electrification,-399025315.4,-0.399025315,MLHF
L,H,H,Non-renewable investment,-10773636133,-10.77363613,HLHF
L,H,H,Renewable investment,5135393499,5.135393499,HLHF
L,H,H,Non-renewable operation,-10599572039,-10.59957204,HLHF
L,H,H,Transmission lines,-285551165.8,-0.285551166,HLHF
L,H,H,Long-duration storages,31147427.27,0.031147427,HLHF
L,H,H,Batteries,253523017.9,0.253523018,HLHF
L,H,H,Heating electrification,-444292461.9,-0.444292462,HLHF
L,H,N,Non-renewable investment,-9789906519,-9.789906519,NLHF
L,H,N,Renewable investment,3546725571,3.546725571,NLHF
L,H,N,Non-renewable operation,-9705073053,-9.705073053,NLHF
L,H,N,Transmission lines,-461540662.2,-0.461540662,NLHF
L,H,N,Long-duration storages,-2110058415,-2.110058415,NLHF
L,H,N,Batteries,-1212772570,-1.21277257,NLHF
L,H,N,Heating electrification,480627670.2,0.48062767,NLHF
M,L,L,Non-renewable investment,-24528846238,-24.52884624,LMLF
M,L,L,Renewable investment,13535348715,13.53534872,LMLF
M,L,L,Non-renewable operation,-24515420749,-24.51542075,LMLF
M,L,L,Transmission lines,2941112993,2.941112993,LMLF
M,L,L,Long-duration storages,525886164.5,0.525886165,LMLF
M,L,L,Batteries,4849534099,4.849534099,LMLF
M,L,L,Heating electrification,1366556089,1.366556089,LMLF
M,L,M,Non-renewable investment,-25615447834,-25.61544783,MMLF
M,L,M,Renewable investment,14388409328,14.38840933,MMLF
M,L,M,Non-renewable operation,-25332439417,-25.33243942,MMLF
M,L,M,Transmission lines,3087779295,3.087779295,MMLF
M,L,M,Long-duration storages,522823555.8,0.522823556,MMLF
M,L,M,Batteries,4962526638,4.962526638,MMLF
M,L,M,Heating electrification,1348321871,1.348321871,MMLF
M,L,H,Non-renewable investment,-25680947313,-25.68094731,HMLF
M,L,H,Renewable investment,14529909818,14.52990982,HMLF
M,L,H,Non-renewable operation,-25577540292,-25.57754029,HMLF
M,L,H,Transmission lines,3095188753,3.095188753,HMLF
M,L,H,Long-duration storages,502203390.2,0.50220339,HMLF
M,L,H,Batteries,4987153524,4.987153524,HMLF
M,L,H,Heating electrification,1394791092,1.394791092,HMLF
M,L,N,Non-renewable investment,-24068041250,-24.06804125,NMLF
M,L,N,Renewable investment,14162248503,14.1622485,NMLF
M,L,N,Non-renewable operation,-24916448803,-24.9164488,NMLF
M,L,N,Transmission lines,2512797915,2.512797915,NMLF
M,L,N,Long-duration storages,-1474912996,-1.474912996,NMLF
M,L,N,Batteries,3203709404,3.203709404,NMLF
M,L,N,Heating electrification,1021486822,1.021486822,NMLF
M,M,L,Non-renewable investment,-18233403105,-18.23340311,LMMF
M,M,L,Renewable investment,8312217606,8.312217606,LMMF
M,M,L,Non-renewable operation,-15785455829,-15.78545583,LMMF
M,M,L,Transmission lines,12451656.27,0.012451656,LMMF
M,M,L,Long-duration storages,548271227.4,0.548271227,LMMF
M,M,L,Batteries,-312688704.2,-0.312688704,LMMF
M,M,L,Heating electrification,234855881.7,0.234855882,LMMF
M,M,M,Non-renewable investment,-19390656716,-19.39065672,MMMF
M,M,M,Renewable investment,8749608206,8.749608206,MMMF
M,M,M,Non-renewable operation,-16924876784,-16.92487678,MMMF
M,M,M,Transmission lines,124437095.6,0.124437096,MMMF
M,M,M,Long-duration storages,489864673,0.489864673,MMMF
M,M,M,Batteries,-154214135.2,-0.154214135,MMMF
M,M,M,Heating electrification,244093091.3,0.244093091,MMMF
M,M,H,Non-renewable investment,-19799936592,-19.79993659,HMMF
M,M,H,Renewable investment,9235336283,9.235336283,HMMF
M,M,H,Non-renewable operation,-17004907589,-17.00490759,HMMF
M,M,H,Transmission lines,92964589.12,0.092964589,HMMF
M,M,H,Long-duration storages,527129143.7,0.527129144,HMMF
M,M,H,Batteries,-213240970.2,-0.21324097,HMMF
M,M,H,Heating electrification,246877425,0.246877425,HMMF
M,M,N,Non-renewable investment,-21889392281,-21.88939228,NMMF
M,M,N,Renewable investment,14700613631,14.70061363,NMMF
M,M,N,Non-renewable operation,-18879480047,-18.87948005,NMMF
M,M,N,Transmission lines,-416103242.8,-0.416103243,NMMF
M,M,N,Long-duration storages,-1648450104,-1.648450104,NMMF
M,M,N,Batteries,-1411264500,-1.4112645,NMMF
M,M,N,Heating electrification,-53299962.37,-0.053299962,NMMF
M,H,L,Non-renewable investment,-10650028575,-10.65002858,LMHF
M,H,L,Renewable investment,3029316219,3.029316219,LMHF
M,H,L,Non-renewable operation,-11027694248,-11.02769425,LMHF
M,H,L,Transmission lines,-516956242,-0.516956242,LMHF
M,H,L,Long-duration storages,-81817374.78,-0.081817375,LMHF
M,H,L,Batteries,-545237551.8,-0.545237552,LMHF
M,H,L,Heating electrification,-174860939.4,-0.174860939,LMHF
M,H,M,Non-renewable investment,-17664393765,-17.66439376,MMHF
M,H,M,Renewable investment,7770016672,7.770016672,MMHF
M,H,M,Non-renewable operation,-16707885201,-16.7078852,MMHF
M,H,M,Transmission lines,-221375595.6,-0.221375596,MMHF
M,H,M,Long-duration storages,-303543348.1,-0.303543348,MMHF
M,H,M,Batteries,522576298.1,0.522576298,MMHF
M,H,M,Heating electrification,-505140274.9,-0.505140275,MMHF
M,H,H,Non-renewable investment,-18167682950,-18.16768295,HMHF
M,H,H,Renewable investment,7858011771,7.858011771,HMHF
M,H,H,Non-renewable operation,-16524561781,-16.52456178,HMHF
M,H,H,Transmission lines,-321153893.6,-0.321153894,HMHF
M,H,H,Long-duration storages,-320292790.5,-0.32029279,HMHF
M,H,H,Batteries,261290371.6,0.261290372,HMHF
M,H,H,Heating electrification,-385830277.4,-0.385830277,HMHF
M,H,N,Non-renewable investment,-19827072002,-19.827072,NMHF
M,H,N,Renewable investment,13770189067,13.77018907,NMHF
M,H,N,Non-renewable operation,-19124097327,-19.12409733,NMHF
M,H,N,Transmission lines,-546570478.8,-0.546570479,NMHF
M,H,N,Long-duration storages,-4324985955,-4.324985955,NMHF
M,H,N,Batteries,-2100155859,-2.100155859,NMHF
M,H,N,Heating electrification,258695455.2,0.258695455,NMHF
H,L,L,Non-renewable investment,-25852726043,-25.85272604,LHLF
H,L,L,Renewable investment,22073222338,22.07322234,LHLF
H,L,L,Non-renewable operation,-19700060306,-19.70006031,LHLF
H,L,L,Transmission lines,378574133.6,0.378574134,LHLF
H,L,L,Long-duration storages,814201336.1,0.814201336,LHLF
H,L,L,Batteries,4870472100,4.8704721,LHLF
H,L,L,Heating electrification,-27863481.43,-0.027863481,LHLF
H,L,M,Non-renewable investment,-30441205574,-30.44120557,MHLF
H,L,M,Renewable investment,10938754426,10.93875443,MHLF
H,L,M,Non-renewable operation,-29308354086,-29.30835409,MHLF
H,L,M,Transmission lines,1969012579,1.969012579,MHLF
H,L,M,Long-duration storages,-2818898546,-2.818898546,MHLF
H,L,M,Batteries,6802232037,6.802232037,MHLF
H,L,M,Heating electrification,4194899515,4.194899515,MHLF
H,L,H,Non-renewable investment,-30707076278,-30.70707628,HHLF
H,L,H,Renewable investment,10237943528,10.23794353,HHLF
H,L,H,Non-renewable operation,-29840557108,-29.84055711,HHLF
H,L,H,Transmission lines,2117278958,2.117278958,HHLF
H,L,H,Long-duration storages,-3326311671,-3.326311671,HHLF
H,L,H,Batteries,6016712259,6.016712259,HHLF
H,L,H,Heating electrification,4501249914,4.501249914,HHLF
H,L,N,Non-renewable investment,-37748285614,-37.74828561,NHLF
H,L,N,Renewable investment,18618736500,18.6187365,NHLF
H,L,N,Non-renewable operation,-33510752603,-33.5107526,NHLF
H,L,N,Transmission lines,2600588483,2.600588483,NHLF
H,L,N,Long-duration storages,-3290481172,-3.290481172,NHLF
H,L,N,Batteries,2433556132,2.433556132,NHLF
H,L,N,Heating electrification,4053131855,4.053131855,NHLF
H,M,L,Non-renewable investment,-19967484715,-19.96748472,LHMF
H,M,L,Renewable investment,15981859050,15.98185905,LHMF
H,M,L,Non-renewable operation,-16105934865,-16.10593486,LHMF
H,M,L,Transmission lines,-1606820107,-1.606820107,LHMF
H,M,L,Long-duration storages,64410671.85,0.064410672,LHMF
H,M,L,Batteries,-1828326991,-1.828326991,LHMF
H,M,L,Heating electrification,-611486924.8,-0.611486925,LHMF
H,M,M,Non-renewable investment,-9200231905,-9.200231905,MHMF
H,M,M,Renewable investment,-14569647950,-14.56964795,MHMF
H,M,M,Non-renewable operation,-14389655542,-14.38965554,MHMF
H,M,M,Transmission lines,786553790.7,0.786553791,MHMF
H,M,M,Long-duration storages,-1392576616,-1.392576616,MHMF
H,M,M,Batteries,-1578219186,-1.578219186,MHMF
H,M,M,Heating electrification,3067586816,3.067586816,MHMF
H,M,H,Non-renewable investment,-17512464513,-17.51246451,HHMF
H,M,H,Renewable investment,-6640481456,-6.640481456,HHMF
H,M,H,Non-renewable operation,-19084159675,-19.08415968,HHMF
H,M,H,Transmission lines,406456483.5,0.406456484,HHMF
H,M,H,Long-duration storages,-2858125790,-2.85812579,HHMF
H,M,H,Batteries,-1559317993,-1.559317993,HHMF
H,M,H,Heating electrification,3161279532,3.161279532,HHMF
H,M,N,Non-renewable investment,-28580129893,-28.58012989,NHMF
H,M,N,Renewable investment,8493878668,8.493878668,NHMF
H,M,N,Non-renewable operation,-24695033115,-24.69503311,NHMF
H,M,N,Transmission lines,-66475314.43,-0.066475314,NHMF
H,M,N,Long-duration storages,-3465358818,-3.465358818,NHMF
H,M,N,Batteries,-4519678343,-4.519678343,NHMF
H,M,N,Heating electrification,2055806723,2.055806723,NHMF
H,H,L,Non-renewable investment,-18736207412,-18.73620741,LHHF
H,H,L,Renewable investment,15624568209,15.62456821,LHHF
H,H,L,Non-renewable operation,-18392076621,-18.39207662,LHHF
H,H,L,Transmission lines,-1492580382,-1.492580382,LHHF
H,H,L,Long-duration storages,514361180.9,0.514361181,LHHF
H,H,L,Batteries,763733945.7,0.763733946,LHHF
H,H,L,Heating electrification,-2017033697,-2.017033697,LHHF
H,H,M,Non-renewable investment,-10931626370,-10.93162637,MHHF
H,H,M,Renewable investment,-9677443655,-9.677443655,MHHF
H,H,M,Non-renewable operation,-17641227260,-17.64122726,MHHF
H,H,M,Transmission lines,-257066375.3,-0.257066375,MHHF
H,H,M,Long-duration storages,-3341978084,-3.341978084,MHHF
H,H,M,Batteries,2131453084,2.131453084,MHHF
H,H,M,Heating electrification,698267820.7,0.698267821,MHHF
H,H,H,Non-renewable investment,-16291915605,-16.29191561,HHHF
H,H,H,Renewable investment,-6699230928,-6.699230928,HHHF
H,H,H,Non-renewable operation,-21412320243,-21.41232024,HHHF
H,H,H,Transmission lines,711402681.8,0.711402682,HHHF
H,H,H,Long-duration storages,-4608033762,-4.608033762,HHHF
H,H,H,Batteries,319383484.5,0.319383485,HHHF
H,H,H,Heating electrification,2329787230,2.32978723,HHHF
H,H,N,Non-renewable investment,-31366485111,-31.36648511,NHHF
H,H,N,Renewable investment,11842734952,11.84273495,NHHF
H,H,N,Non-renewable operation,-26305759825,-26.30575983,NHHF
H,H,N,Transmission lines,-658095104.4,-0.658095104,NHHF
H,H,N,Long-duration storages,-5651522886,-5.651522886,NHHF
H,H,N,Batteries,-4504291241,-4.504291241,NHHF
H,H,N,Heating electrification,1229149778,1.229149778,NHHF